epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1756.14,1.47568,2.24722,1.34832,0.67535,0.5397,0.59976,0.34241,1.61487,2.14926,1.44878,0.000415287,0.000415287,0.000415287
2,3560.87,1.59655,1.78373,1.40119,0.66037,0.48562,0.58117,0.32035,1.77678,1.9711,1.53641,0.000815481,0.000815481,0.000815481
3,5505.06,1.62894,1.63046,1.42532,0.78263,0.43594,0.57155,0.32359,1.70358,1.59314,1.4721,0.00119917,0.00119917,0.00119917
4,7551.27,1.5979,1.5185,1.41945,0.74719,0.58202,0.64232,0.36846,1.70666,1.52319,1.4884,0.00117575,0.00117575,0.00117575
5,9541.21,1.60241,1.46486,1.40735,0.81805,0.644,0.72276,0.40837,1.63599,1.39116,1.42719,0.001151,0.001151,0.001151
6,11421.6,1.56897,1.39955,1.38377,0.80963,0.63944,0.70576,0.41311,1.59927,1.37513,1.45431,0.00112625,0.00112625,0.00112625
7,16873.3,1.50654,1.31985,1.35566,0.84033,0.68143,0.74589,0.42318,1.5596,1.43595,1.40361,0.0011015,0.0011015,0.0011015
8,18793.2,1.50334,1.31102,1.34958,0.82988,0.59779,0.69371,0.4035,1.57991,1.25859,1.3681,0.00107675,0.00107675,0.00107675
9,20735,1.49852,1.25797,1.33468,0.88003,0.66883,0.74538,0.43999,1.54793,1.25,1.35914,0.001052,0.001052,0.001052
10,22502.8,1.46834,1.23221,1.31569,0.94266,0.62024,0.74069,0.43658,1.54706,1.28603,1.36195,0.00102725,0.00102725,0.00102725
11,48796.3,1.4347,1.19122,1.30432,0.86844,0.65431,0.74355,0.41406,1.66612,1.3574,1.43829,0.0010025,0.0010025,0.0010025
12,50531.8,1.44,1.19412,1.30392,0.86711,0.67659,0.74879,0.44651,1.5556,1.19261,1.32505,0.00097775,0.00097775,0.00097775
13,52230.6,1.42491,1.14191,1.29026,0.88075,0.64802,0.74939,0.45614,1.47072,1.17969,1.29731,0.000953,0.000953,0.000953
14,53960.4,1.40103,1.12675,1.27231,0.82184,0.69034,0.75866,0.44128,1.53771,1.12153,1.34012,0.00092825,0.00092825,0.00092825
15,55724.4,1.38651,1.09531,1.26746,0.90136,0.69384,0.7754,0.47991,1.50417,1.08935,1.29385,0.0009035,0.0009035,0.0009035
16,57465.9,1.3831,1.08132,1.26542,0.89252,0.68755,0.77597,0.49946,1.49604,1.15536,1.32371,0.00087875,0.00087875,0.00087875
17,59202.6,1.3831,1.0897,1.27509,0.91097,0.69549,0.79989,0.49283,1.48102,1.04298,1.30228,0.000854,0.000854,0.000854
18,60949,1.346,1.02431,1.24456,0.91716,0.72796,0.80753,0.50622,1.48774,1.07174,1.30646,0.00082925,0.00082925,0.00082925
19,62692.3,1.3389,1.03394,1.25117,0.84049,0.76758,0.80544,0.47292,1.50783,1.02772,1.29476,0.0008045,0.0008045,0.0008045
20,64436.5,1.34978,1.03375,1.2427,0.88144,0.72538,0.80035,0.51411,1.4939,0.96854,1.29747,0.00077975,0.00077975,0.00077975
21,66170.7,1.33596,0.99709,1.23518,0.87859,0.71246,0.79716,0.5287,1.40757,1.06449,1.24347,0.000755,0.000755,0.000755
22,67922,1.3136,0.99211,1.23207,0.86512,0.68868,0.78785,0.47838,1.48325,1.00925,1.2955,0.00073025,0.00073025,0.00073025
23,69657,1.31034,0.98371,1.22902,0.89496,0.70829,0.78933,0.52164,1.45711,0.98958,1.27687,0.0007055,0.0007055,0.0007055
24,71393.1,1.30503,0.97241,1.22317,0.91486,0.70368,0.79369,0.48844,1.44754,0.95584,1.3027,0.00068075,0.00068075,0.00068075
25,73134.5,1.30346,0.94948,1.20649,0.88827,0.72646,0.79743,0.5169,1.45905,1.04318,1.28748,0.000656,0.000656,0.000656
26,74880.4,1.26157,0.91494,1.20047,0.92323,0.72946,0.81627,0.52074,1.46739,1.0071,1.27413,0.00063125,0.00063125,0.00063125
27,76625.5,1.27196,0.91993,1.20288,0.87791,0.74029,0.80637,0.51532,1.44463,0.99146,1.26857,0.0006065,0.0006065,0.0006065
28,78371.1,1.27158,0.92114,1.20199,0.88335,0.7587,0.80305,0.51231,1.45144,0.89238,1.26357,0.00058175,0.00058175,0.00058175
29,80105.4,1.26387,0.90045,1.19983,0.89249,0.78799,0.82371,0.52443,1.4302,0.94828,1.2611,0.000557,0.000557,0.000557
30,81833.8,1.26209,0.9118,1.19586,0.93947,0.75918,0.83616,0.50759,1.4641,0.89427,1.27093,0.00053225,0.00053225,0.00053225
31,83579.7,1.24267,0.89614,1.18688,0.88635,0.8016,0.83572,0.5354,1.43083,0.92955,1.2478,0.0005075,0.0005075,0.0005075
32,85321.4,1.24236,0.87227,1.18118,0.93306,0.77824,0.83251,0.5214,1.40384,0.89662,1.24982,0.00048275,0.00048275,0.00048275
33,99659.3,1.21883,0.83621,1.1696,0.91531,0.75768,0.81428,0.52813,1.37626,0.88508,1.2338,0.000458,0.000458,0.000458
34,101380,1.21409,0.84445,1.16871,0.87483,0.77172,0.83578,0.52736,1.4277,0.8944,1.26236,0.00043325,0.00043325,0.00043325
35,103103,1.2099,0.8387,1.16272,0.93016,0.74781,0.82755,0.52599,1.41851,0.91703,1.23762,0.0004085,0.0004085,0.0004085
36,104814,1.20245,0.82399,1.15786,0.91477,0.7757,0.8419,0.5388,1.36415,0.86578,1.21964,0.00038375,0.00038375,0.00038375
37,106549,1.17832,0.81089,1.14877,0.89681,0.78265,0.81815,0.53297,1.37483,0.89313,1.22012,0.000359,0.000359,0.000359
38,108276,1.18526,0.81381,1.15071,0.93514,0.76705,0.82536,0.53561,1.36849,0.8897,1.2116,0.00033425,0.00033425,0.00033425
39,110004,1.18374,0.80658,1.14842,0.92279,0.7625,0.81938,0.52567,1.40581,0.87384,1.24556,0.0003095,0.0003095,0.0003095
40,111726,1.16843,0.7903,1.14278,0.92864,0.76196,0.82201,0.5329,1.36116,0.82906,1.22057,0.00028475,0.00028475,0.00028475
41,113423,1.18445,0.78829,1.13979,0.89485,0.77961,0.83108,0.54165,1.36861,0.86678,1.21865,0.00026,0.00026,0.00026
42,115121,1.14896,0.73654,1.12508,0.92342,0.7694,0.83285,0.53976,1.37091,0.85179,1.24238,0.00023525,0.00023525,0.00023525
43,116814,1.14015,0.72808,1.12463,0.93107,0.76624,0.83939,0.53496,1.39593,0.87012,1.23573,0.0002105,0.0002105,0.0002105
44,118525,1.12549,0.72061,1.11396,0.93199,0.76703,0.82834,0.54526,1.35742,0.86066,1.21617,0.00018575,0.00018575,0.00018575
45,120231,1.11749,0.71134,1.11544,0.93344,0.78098,0.82736,0.53171,1.35649,0.83139,1.21042,0.000161,0.000161,0.000161
46,121929,1.10926,0.68993,1.10169,0.93004,0.77719,0.8208,0.54615,1.35243,0.84635,1.20517,0.00013625,0.00013625,0.00013625
47,123633,1.09966,0.68801,1.10469,0.92388,0.78804,0.83134,0.54398,1.3583,0.83199,1.20761,0.0001115,0.0001115,0.0001115
48,125339,1.09971,0.68821,1.09383,0.93997,0.76556,0.83214,0.54589,1.37171,0.829,1.2182,8.675e-05,8.675e-05,8.675e-05
49,127039,1.09934,0.68596,1.09433,0.93687,0.7702,0.82614,0.54637,1.3518,0.8378,1.20739,6.2e-05,6.2e-05,6.2e-05
50,128737,1.07325,0.66253,1.09078,0.94715,0.78432,0.8327,0.54921,1.35186,0.82729,1.20447,3.725e-05,3.725e-05,3.725e-05
